CALCADOS CRUZ &AMP; MELO EIRELI EPP         ,R MARCIANO SANTOS 272 - CENTRO                              ,MG   ,ARAGUARI              ,34 3246 6731
CALCADOS DA MODA LTDA                       ,AV VISCONDE IBITRUNA  288 LOJA 02 - BARREIRO BAIXO          ,MG   ,BELO HORIZONTE        ,37 2101-4300
CALCADOS DOKA LTDA ME                       ,RUA GARCAO STOCKLER 215 - CENTRO                            ,MG   ,LAMBARI               ,35-2171-3810
CALCADOS E CONFECCOES ACLIMACAO LTDA        ,R LUIZ FERREIRA DA FONSECA   385 - ACLIMACAO                ,MG   ,UBERLANDIA            ,34-3226-9310 34-3226-931
CALCADOS E CONFECCOES PRIMAVERA LTDA ME     ,RUA MONTREAL 406 - TIBERY                                   ,MG   ,UBERLANDIA            ,34 3213 6669
CALCADOS E CONFECCOES SPINELLA LTDA EPP     ,RUA DOUTOR MELO VIANA 12 - CENTRO                           ,MG   ,LAVRAS                ,35-3821-1982/7271
CALCADOS FERREIRA &AMP; MELO LTDA EPP       ,AV RUI BARBOSA 513 - CENTRO                                 ,MG   ,PATROCINIO            ,34 3831 1844
CALCADOS LTDA ME                            ,AV BAHIA 500 - CENTRO                                       ,MG   ,ARAGUARI              ,34 3242-3240
CALCADOS MARLUCIA LTDA EPP                  ,R GOIAS 1222 - CENTRO                                       ,MG   ,DIVINOPOLIS           ,37-3222-0202
CALCADOS MOURAO LTDA - ME                   ,AV ANTONIO ALVES MACHADO 87 - TIRADENTES                    ,MG   ,TUPACIGUARA           ,34 3281 1722
CALCADOS PASSO IDEAL LTDA                   ,AV BERNADO MASCARENHAS 334 - NOSSA SENHORA DAS GRACAS       ,MG   ,CAETANOPOLIS          ,31 3714 6975
CALCADOS PETRONIO LTDA                      ,RUA CAPITAO AMERICO TAVEIRA 116 - CENTRO                    ,MG   ,ERVALIA               ,32-3554-1449
CALCADOS TRES PONTAS LTDA ME                ,PCA CONEGO VITOR 185 - CENTRO                               ,MG   ,TRES PONTAS           ,37 2101-4300
CALCE BEM CALCADOS LTDA                     ,PCA PADRE JOSE PEREIRA COELHO 09 - CENTRO                   ,MG   ,PARA DE MINAS         ,37 2101-4300
